CustomerID,latest_purchase,frequency,monetary,Recency,clean_date,RScore,FScore,MScore,RFM,Segment
12346,1/18/2011 10:17,2,0.0,325,2011-01-18,1,2,1,121, POTENTIAL
12347,8/2/2011 8:48,7,4310.0,129,2011-08-02,2,4,4,244, AT RISK 
12348,9/25/2011 13:13,4,1797.24,75,2011-09-25,3,3,3,333, LOYAL CUSTOMER
12349,11/21/2011 9:51,1,1757.55,18,2011-11-21,5,1,3,513, POTENTIAL
12350,2/2/2011 16:01,1,334.4,310,2011-02-02,1,1,1,111, POTENTIAL
12352,9/28/2011 14:58,11,1545.41,72,2011-09-28,3,5,3,353, LOYAL CUSTOMER
12353,5/19/2011 17:47,1,89.0,204,2011-05-19,2,1,1,211, POTENTIAL
12354,4/21/2011 13:11,1,1079.4,232,2011-04-21,2,1,3,213, POTENTIAL
12355,5/9/2011 13:49,1,459.4,214,2011-05-09,2,1,1,211, POTENTIAL
12356,4/8/2011 12:33,3,2811.43,245,2011-04-08,1,3,4,134, POTENTIAL
12357,11/6/2011 16:07,1,6207.67,33,2011-11-06,4,1,5,415, POTENTIAL
12358,7/12/2011 10:04,2,1168.06,150,2011-07-12,2,2,3,223,LOST CUSTOMER
12359,6/3/2011 12:26,6,6245.53,189,2011-06-03,2,4,5,245, AT RISK 
12360,8/19/2011 10:10,3,2662.06,112,2011-08-19,3,3,4,334, LOYAL CUSTOMER
12361,2/25/2011 13:51,1,189.9,287,2011-02-25,1,1,1,111, POTENTIAL
12362,9/28/2011 12:04,13,5154.58,72,2011-09-28,3,5,5,355, LOYAL CUSTOMER
12363,8/22/2011 10:18,2,552.0,109,2011-08-22,3,2,2,322,LOST CUSTOMER
12364,9/22/2011 16:07,4,1313.1,78,2011-09-22,3,3,3,333, LOYAL CUSTOMER
12365,2/21/2011 14:04,3,320.69,291,2011-02-21,1,3,1,131, POTENTIAL
12367,12/5/2011 16:48,1,168.9,4,2011-12-05,5,1,1,511, POTENTIAL
12370,3/10/2011 12:48,4,3545.69,274,2011-03-10,1,3,4,134, POTENTIAL
12371,10/26/2011 10:16,2,1887.96,44,2011-10-26,4,2,3,423,NEW CUSTOMER
12372,9/29/2011 12:12,3,1298.04,71,2011-09-29,3,3,3,333, LOYAL CUSTOMER
12373,2/1/2011 13:10,1,364.6,311,2011-02-01,1,1,1,111, POTENTIAL
12374,11/14/2011 15:37,1,742.93,25,2011-11-14,5,1,2,512, POTENTIAL
12375,9/2/2011 14:23,3,455.42,98,2011-09-02,3,3,1,331,LOST CUSTOMER
12377,12/20/2010 9:37,2,1628.12,354,2010-12-20,1,2,3,123, POTENTIAL
12378,8/2/2011 10:34,1,4008.62,129,2011-08-02,2,1,4,214, POTENTIAL
12379,9/19/2011 10:09,3,850.29,81,2011-09-19,3,3,2,332,LOST CUSTOMER
12380,9/22/2011 17:31,5,2720.56,78,2011-09-22,3,3,4,334, LOYAL CUSTOMER
12381,8/31/2011 17:10,6,1803.96,100,2011-08-31,3,4,3,343, LOYAL CUSTOMER
12383,6/8/2011 8:02,6,1839.31,184,2011-06-08,2,4,3,243, AT RISK 
12384,9/21/2011 10:00,3,566.16,79,2011-09-21,3,3,2,332,LOST CUSTOMER
12386,12/8/2010 9:53,2,401.9,366,2010-12-08,1,2,1,121, POTENTIAL
12388,9/25/2011 11:30,6,2780.66,75,2011-09-25,3,4,4,344, LOYAL CUSTOMER
12390,9/21/2011 9:33,1,549.84,79,2011-09-21,3,1,2,312, POTENTIAL
12391,11/18/2011 12:07,1,460.89,21,2011-11-18,5,1,1,511, POTENTIAL
12393,9/28/2011 15:41,4,1582.6,72,2011-09-28,3,3,3,333, LOYAL CUSTOMER
12394,5/6/2011 14:01,2,1272.48,217,2011-05-06,2,2,3,223,LOST CUSTOMER
12395,8/19/2011 15:18,15,2998.28,112,2011-08-19,3,5,4,354, LOYAL CUSTOMER
12397,7/27/2011 14:21,2,2409.9,135,2011-07-27,2,2,3,223,LOST CUSTOMER
12398,10/25/2011 10:27,1,1635.66,45,2011-10-25,4,1,3,413, POTENTIAL
12399,8/12/2011 13:15,4,1108.65,119,2011-08-12,3,3,3,333, LOYAL CUSTOMER
